addr_full,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
Camino Unión Del Cuatro No. 101 Parcela 17Z1P 1/2,Tlajomulco De Zúñiga,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",20.526783,-103.387642,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,119,45654,Chedraui Tlajomulco,,https://www.chedraui.com.mx/encuentra-tu-tienda
Av. Tláhuac No. 4409,Iztapalapa,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.320998,-99.094302,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,175,09890,Chedraui  Lomas Estrella,,https://www.chedraui.com.mx/encuentra-tu-tienda
Roberto Esquerra Peaza No. 591,Gustavo A. Madero,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.555151,-99.131249,"{'opening_hours': {'Mon': '06:00-18:00', 'Tue': '06:00-18:00', 'Wed': '06:00-18:00', 'Thu': '06:00-18:00', 'Fri': '06:00-18:00', 'Sat': '06:00-18:00', 'Sun': '06:00-18:00'}}",,683,071800,Supercito Barrio Alto Gustavo A. Madero,,https://www.chedraui.com.mx/encuentra-tu-tienda
Blvrd. De Los Patos Fracción 1 No. 493  Ponti 700  P,Veracruz,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.208751,-96.223851,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,120,91803,Chedraui Veracruz Ponti,,https://www.chedraui.com.mx/encuentra-tu-tienda
Av. Alejandro Von Humboldt Sur No. 26,Veracruz,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.561968,-97.247128,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '07:00-22:00'}}",,661,91270,Super Chedraui Perote,,https://www.chedraui.com.mx/encuentra-tu-tienda
Calle 60 No. 301 A,Mérida,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",21.029953,-89.630084,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,253,97110,Chedraui Selecto Mérida Norte 5,,https://www.chedraui.com.mx/encuentra-tu-tienda
Av. San Mateo No. 17,Atizapán De Zaragoza,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.561792,-99.244287,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,018,52900,Chedraui  Atizapán,,https://www.chedraui.com.mx/encuentra-tu-tienda
Calle Manzanillo No.107,Iztapalapa,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.361583,-99.01329,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '07:00-22:00'}}",,736,09520,Supercito Tecoloxtitla,,https://www.chedraui.com.mx/encuentra-tu-tienda
Av. Hector Perez Martinez No. 71,Escárcega,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",18.60454,-90.730611,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '07:00-22:00'}}",,610,24350,Super Chedraui  Escárcega,,https://www.chedraui.com.mx/encuentra-tu-tienda
Av. Álvaro Obregón No.  443,San Francisco De Campeche,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.848788,-90.495379,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,102,24020,Chedraui Campeche Villaturquesa,,https://www.chedraui.com.mx/encuentra-tu-tienda
Av. De La Industria Km 12.5 No. 10940,Altamira,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",22.331956,-97.872282,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,163,89604,Chedraui Tampico Altamira,,https://www.chedraui.com.mx/encuentra-tu-tienda
CALLE ALEJANDRA NO. 512,SAN PEDRO CHOLULA,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.071307,-98.2808236.17,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,749,72775,Chedraui Explanada Puebla,,https://www.chedraui.com.mx/encuentra-tu-tienda
"Carretera Federal 140, Las trancas Emiliano Zapata",Xalapa,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.5077487579431,-96.8577957181065,"{'opening_hours': {'Mon': '07:00-23:59', 'Tue': '07:00-23:59', 'Wed': '07:00-23:59', 'Thu': '07:00-23:59', 'Fri': '07:00-23:59', 'Sat': '07:00-23:59', 'Sun': '07:00-23:59'}}",,270,91637,Chedraui Xalapa El Juguete,,https://www.chedraui.com.mx/encuentra-tu-tienda
Dr. Rafael Lucio No. 25,Xalapa Enríquez,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.52863,-96.92257,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,003,91000,Chedraui Xalapa Almacenes,,https://www.chedraui.com.mx/encuentra-tu-tienda
Calle 57 No. 746 A,Pacabtún,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",20.96705,-89.590552,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,066,97160,Chedraui Mérida Oriente,,https://www.chedraui.com.mx/encuentra-tu-tienda
