addr_full,brand,city,country,extras,lat,lon,name,phone,ref,postcode,website
4 Avenue de l'Europe,But,PERONNE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.939806000000000000,2.926860000000000000,But Peronne,,283,80200,https://www.but.fr/magasins/283/But-Peronne.html
Avenue Jean Moulin,But,BOLLENE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",44.307433000000000000,4.747233000000000000,But Bollène,,284,84500,https://www.but.fr/magasins/284/But-Bollene.html
ZAC du Mont Renaud,But,NOYON,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.570271000000000000,2.979700000000000000,But Noyon,,285,60400,https://www.but.fr/magasins/285/But-Noyon.html
15 rue du pergasan - Lieu dit Labourdas,But,JUVIGNAC,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",43.617440000000000000,3.794912000000000000,But Juvignac,,286,34990,https://www.but.fr/magasins/286/But-Juvignac.html
Bd Winston Churchill,But,ST VIGOR LE GRAND,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.284637000000000000,-0.697298000000000000,But Bayeux,,287,14400,https://www.but.fr/magasins/287/But-Bayeux.html
6 rue François Mitterrand,But,MARMANDE,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",44.509912000000000000,0.141331000000000000,BUT Marmande,,288,47200,https://www.but.fr/magasins/288/BUT-Marmande.html
ZAC GRANDE TERRE - 5 voie des Romains,But,LONGEVILLE EN BARROIS,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.754340000000000000,5.200080000000000000,But Bar le Duc,,289,55000,https://www.but.fr/magasins/289/But-Bar-le-Duc.html
RUE DES ENTREPRENEURS,But,JOIGNY,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.976931000000000000,3.373828000000000000,But Joigny,,290,89300,https://www.but.fr/magasins/290/But-Joigny.html
ZI CHAMPAGNE,But,BOURGUIGNON,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.415554000000000000,6.777701000000000000,But Bourguignon,,291,25150,https://www.but.fr/magasins/291/But-Bourguignon.html
320 rue René CASSIN - ZAC MONT RIVEL,But,CHAMPAGNOLE,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",46.749556000000000000,5.916022000000000000,But Champagnole,,292,39300,https://www.but.fr/magasins/292/But-Champagnole.html
131 boulevard François Mitterand - ZA des Haras,But,MAYENNE,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.287080000000000000,-0.616503000000000000,But Mayenne,,293,53100,https://www.but.fr/magasins/293/But-Mayenne.html
1 rue de la Guérie - Route de St-Lo,But,COUTANCES,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.059287000000000000,-1.425616000000000000,But Coutances,,294,50200,https://www.but.fr/magasins/294/But-Coutances.html
ZAC de la Gravelle,But,ARGENTAN,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.732439000000000000,-0.038035000000000000,But Argentan,,295,61200,https://www.but.fr/magasins/295/But-Argentan.html
Le Fer des Champs,But,PERIERS EN AUGE,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.274737000000000000,-0.102681000000000000,But Dives sur Mer,,296,14160,https://www.but.fr/magasins/296/But-Dives-sur-Mer.html
